stt,unnamed_1,linh_vuc,so_tiep_nhan,ngay_tiep_nhan,han_tra,ket_qua,ten_co_so,chu_co_so,đia_chi,phuong_xa,quan_huyen,so_gcn_dkkd,loai_hinh_co_so,so_gcn_attp,ngay_cap_gcn_attp,so_gcn_cap_lan_2,ngay_cap_lan_2,so_gcn_cap_đau_tien,ngay_cap_dau_tien,chuyen_vien_thu_ly,tinh_thanh,ten_co_so_norm,quan_huyen_norm,phuong_xa_norm,thoi_han_gcn_attp,processing_days,attp_valid
5091,,YT,,2023-11-23,2023-12-22,,đia điem kinh doanh so 6 cong ty tnhh thao ha,TRƯƠNG VIỆT OANH,"Lô I1-N1, Khu Công Nghệ cao",tan phu,thu đuc,,kinh doanh dich vu an uong,5091,2023-12-04,,,,,,ho chi minh,đia điem kinh doanh so 6 cong ty tnhh thao ha,thu đuc,tan phu,2026-12-03,11.0,True
5092,,NN,,2023-11-27,2023-12-12,,nha xuong - đia điem kinh doanh cong ty tnhh thuong mai dich vu xuat nhap khau sen thien nien ky,,420/10 Lã Xuân Oai,long truong,thu đuc,,che bien cha chay,5092,2023-12-04,,,,,,ho chi minh,nha xuong - đia điem kinh doanh cong ty tnhh thuong mai dich vu xuat nhap khau sen thien nien ky,thu đuc,long truong,2026-12-03,7.0,True
5093,,CT,,2023-11-23,2023-12-22,,đia điem kinh doanh cong ty co phan thuong mai bach hoa xanh - cua hang bhx so 394,PHẠM VĂN TRỌNG,Một phần số 40A Đường 147,phuoc long b,thu đuc,,ban le nhom san pham theo danh muc,5093,2023-12-04,,,,,,ho chi minh,đia điem kinh doanh cong ty co phan thuong mai bach hoa xanh - cua hang bhx so 394,thu đuc,phuoc long b,2026-12-03,11.0,True
5094,,YT,,2023-11-24,2023-12-25,,đia điem kinh doanh cong ty co phan thuong mai dich vu thieu nhi moi,NGUYỄN LÊ CHI MAI,"Gian hàng L3-01, Tầng 3, Tòa nhà Vincom Plaza Lê Văn Việt, Số 50 Đường Lê Văn Việt",hiep phu,thu đuc,,kinh doanh dich vu an uong,5094,2023-12-04,,,,,,ho chi minh,đia điem kinh doanh cong ty co phan thuong mai dich vu thieu nhi moi,thu đuc,hiep phu,2026-12-03,10.0,True
5095,,YT,,2023-11-23,2023-12-21,,cong ty tnhh tmdv lee cho,SONG NGUYỄN BẢO NGỌC,"43 Mỹ Văn, đường số 16",tan phu,7,,kinh doanh dich vu an uong,5095,2023-12-04,,,,,,ho chi minh,cong ty tnhh tmdv lee cho,7,tan phu,2026-12-03,11.0,True
5096,,YT,,2023-11-24,2023-12-22,,chi nhanh cong ty tnhh thuong mai va dich vu du lich canh đong viet,NGUYỄN THỊ HÂN,"Sô 1M, Đường số 10, Khu phố 1",tan quy,7,,kinh doanh dich vu an uong,5096,2023-12-04,,,,,,ho chi minh,chi nhanh cong ty tnhh thuong mai va dich vu du lich canh đong viet,7,tan quy,2026-12-03,10.0,True
5097,,CT,,2023-11-24,2023-12-22,,đia điem kinh doanh cong ty co phan king food market,NGUYỄN THỊ NGỌC THÚY,29-31-35 Đường Tân Mỹ,tan phu,7,,ban le nhom san pham theo danh muc,5097,2023-12-04,,,,,,ho chi minh,đia điem kinh doanh cong ty co phan king food market,7,tan phu,2026-12-03,10.0,True
5098,,YT,,2023-11-24,2023-12-25,,cong ty tnhh phat trien dich vu hong phuc,LÊ HỒNG PHƯỚC,46-48 Đường nội khu Hưng Gia 1,tan phong,7,,kinh doanh dich vu an uong,5098,2023-12-04,,,,,,ho chi minh,cong ty tnhh phat trien dich vu hong phuc,7,tan phong,2026-12-03,10.0,True
5099,,YT,,2023-11-22,2023-12-21,,cong ty tnhh wakana,LÊ THỊ DUNG,15A/31A Lê Thánh Tôn,ben nghe,1,,kinh doanh dich vu an uong,5099,2023-12-04,,,,,,ho chi minh,cong ty tnhh wakana,1,ben nghe,2026-12-03,12.0,True
5100,,YT,,2023-11-24,2023-12-25,,đia điem kinh doanh 9 - cong ty co phan socola marou,"VINCENT, GÉRARD MOUROU",89 (trước) Mạc Thị Bưởi,ben nghe,1,,kinh doanh dich vu an uong,5100,2023-12-04,,,,,,ho chi minh,đia điem kinh doanh 9 - cong ty co phan socola marou,1,ben nghe,2026-12-03,10.0,True
5101,,YT,,2023-11-24,2023-12-22,,đia điem kinh doanh cong ty trach nhiem huu han đau tu thuong mai va dich vu hao hoa - trung tam hoi nghi yen tiec đai hy garden,TRỊNH NGỌC TÍN,"4429A Khu Phố 4, Nguyễn Cửu Phú",tan tao a,binh tan,,kinh doanh dich vu an uong,5101,2023-12-04,,,,,,ho chi minh,đia điem kinh doanh cong ty trach nhiem huu han đau tu thuong mai va dich vu hao hoa - trung tam hoi nghi yen tiec đai hy garden,binh tan,tan tao a,2026-12-03,10.0,True
5102,,NN,,2023-11-24,2023-12-12,,ho kinh doanh ly ly,,"34/15/28 Đường Liên khu 2-5, Khu phố 5",binh tri đong,binh tan,,"che bien: tuong ot, tuong xay, sa te",5102,2023-12-04,,,,,,ho chi minh,ho kinh doanh ly ly,binh tan,binh tri đong,2026-12-03,10.0,True
5103,,YT,,2023-11-22,2023-12-20,,cong ty tnhh rau saigon,BÙI THỊ PHƯƠNG TRANG,84 Yên Thế,2,tan binh,,kinh doanh dich vu an uong,5103,2023-12-04,,,,,,ho chi minh,cong ty tnhh rau saigon,tan binh,2,2026-12-03,12.0,True
5104,,CT,,2023-11-23,2023-12-22,,đia điem kinh doanh winmart+ hcm 73 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,PHẠM THỊ THU HƯƠNG,số 136A-138 đường Lê Minh Xuân,7,tan binh,,ban le nhom san pham theo danh muc,5104,2023-12-04,,,,,,ho chi minh,đia điem kinh doanh winmart+ hcm 73 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,tan binh,7,2026-12-03,11.0,True
5105,,CT,,2023-11-23,2023-12-21,,đia điem kinh doanh winmart+ hcm 75 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,,Số 24 Lê Bình,4,tan binh,,ban le nhom san pham theo danh muc,5105,2023-12-04,,,,,,ho chi minh,đia điem kinh doanh winmart+ hcm 75 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,tan binh,4,2026-12-03,11.0,True
5106,,YT,,2023-11-28,2023-12-26,,nha hang ardeo,LÝ THỊ NGỌC THIẾP,"Phòng 09 tại tầng trệt, Tòa nhà mPlaza Saigon, 39 Lê Duẩn",ben nghe,1,,kinh doanh dich vu an uong,5106,2023-12-04,,,,,,ho chi minh,nha hang ardeo,1,ben nghe,2026-12-03,6.0,True
5107,,"CT, YT",,2023-11-28,2023-12-26,,đia điem kinh doanh so 260- cong ty tnhh gs 25 vietnam,PHẠM HOÀNG MINH,"Tầng 1 và Tầng 2, số 240 Đường Bùi Viện",pham ngu lao,1,,kinh doanh dich vu an uong,5107,2023-12-04,,,,,,ho chi minh,đia điem kinh doanh so 260- cong ty tnhh gs 25 vietnam,1,pham ngu lao,2026-12-03,6.0,True
5108,,YT,,2023-11-29,2023-12-28,,cong ty trach nhiem huu han thuong mai va dich vu lam cat,LÊ THỊ KIM LUYẾN,"EA2-01-03, Tầng trệt khối đế Block A2, Tòa nhà Era Town, Số 15B Nguyễn Lương Bằng",phu my,7,,kinh doanh dich vu an uong,5108,2023-12-04,,,,,,ho chi minh,cong ty trach nhiem huu han thuong mai va dich vu lam cat,7,phu my,2026-12-03,5.0,True
5109,,YT,,2023-11-29,2023-12-28,,cong ty co phan friends golf holdings vn - chi nhanh parkson paragon,KOO BON HYUK,"Phòng 501, Lầu 05, Tòa nhà Saigon Paragon, số 03 Nguyễn Lương Bằng",tan phu,7,,kinh doanh dich vu an uong,5109,2023-12-04,,,,,,ho chi minh,cong ty co phan friends golf holdings vn - chi nhanh parkson paragon,7,tan phu,2026-12-03,5.0,True
5110,,YT,,2023-11-29,2023-12-27,,đia điem kinh doanh cong ty tnhh thuong mai dich vu d2a home,NGUYỄN DUY ANH,"số 101, khu phố Mỹ Kim 3 (Cn4) - Phú Mỹ Hưng",tan phong,7,,kinh doanh dich vu an uong,5110,2023-12-04,,,,,,ho chi minh,đia điem kinh doanh cong ty tnhh thuong mai dich vu d2a home,7,tan phong,2026-12-03,5.0,True
5111,,YT,,2023-11-28,2023-12-27,,đia điem kinh doanh cong ty tnhh sol entertainment - sol kitchen and pool bar,BÙI THỊ THU HIỀN,514B Huỳnh Tấn Phát,binh thuan,7,,kinh doanh dich vu an uong,5111,2023-12-04,,,,,,ho chi minh,đia điem kinh doanh cong ty tnhh sol entertainment - sol kitchen and pool bar,7,binh thuan,2026-12-03,6.0,True
5112,,YT,,2023-11-28,2023-12-26,,cong ty tnhh vedette,NGÔ DUY HẬU,15B/46 Lê Thánh Tôn,ben nghe,1,,kinh doanh dich vu an uong,5112,2023-12-05,,,,,,ho chi minh,cong ty tnhh vedette,1,ben nghe,2026-12-04,7.0,True
5113,,YT,,2023-11-27,2023-12-25,,cong ty tnhh matsuda,MATSUDA CHIKA,"Tầng 1, số 8A/11C1 Thái Văn Lung",ben nghe,1,,kinh doanh dich vu an uong,5113,2023-12-05,,,,,,ho chi minh,cong ty tnhh matsuda,1,ben nghe,2026-12-04,8.0,True
5114,,YT,,2023-11-27,2023-12-25,,cong ty tnhh thuong mai dich vu imai house,ĐINH THỊ HOÀI PHƯƠNG,245/10B Nguyễn Trãi,nguyen cu trinh,1,,kinh doanh dich vu an uong,5114,2023-12-05,,,,,,ho chi minh,cong ty tnhh thuong mai dich vu imai house,1,nguyen cu trinh,2026-12-04,8.0,True
5115,,YT,,2023-11-24,2023-12-25,,cong ty co phan apocalypse now saigon,TÔN THẤT MINH,Số 2F đường Thi Sách,ben nghe,1,,kinh doanh dich vu an uong,5115,2023-12-05,,,,,,ho chi minh,cong ty co phan apocalypse now saigon,1,ben nghe,2026-12-04,11.0,True
5116,,NN,,2023-11-28,2023-12-14,,ho kinh doanh hai san cuc khang,,807 Trần Xuân Soạn,tan hung,7,,"so che, đong goi: thit, thuy san",5116,2023-12-05,,,,,,ho chi minh,ho kinh doanh hai san cuc khang,7,tan hung,2026-12-04,7.0,True
5117,,NN,,2023-11-28,2023-12-13,,đia điem kinh doanh so 1 - klever fruit - chi nhanh tai thanh pho ho chi minh - cong ty co phan thuong mai đau tu k.l.e.v.e,,401 Hai Bà Trưng,vo thi sau,3,,kinh doanh trai cay,5117,2023-12-05,,,,,,ho chi minh,đia điem kinh doanh so 1 - klever fruit - chi nhanh tai thanh pho ho chi minh - cong ty co phan thuong mai đau tu k.l.e.v.e,3,vo thi sau,2026-12-04,7.0,True
5118,,"CT, YT",,2023-11-27,2023-12-25,,đia điem kinh doanh so 251 – cong ty tnhh gs 25 vietnam,PHẠM HOÀNG MINH,Tầng 1 và Tầng 2 (một phần) số 217A đường Nguyễn Văn Cừ,4,5,,ban le nhom san pham theo danh muc; kinh doanh dich vu an uong,5118,2023-12-05,,,,,,ho chi minh,đia điem kinh doanh so 251 – cong ty tnhh gs 25 vietnam,5,4,2026-12-04,8.0,True
5119,,YT,,2023-11-27,2023-12-25,,đia điem kinh doanh cua hang so 45 - cong ty tnhh banh ngot cj viet nam,KIM JAE YOUNG,481 Lê Văn Sỹ,12,3,,kinh doanh dich vu an uong,5119,2023-12-05,,,,,,ho chi minh,đia điem kinh doanh cua hang so 45 - cong ty tnhh banh ngot cj viet nam,3,12,2026-12-04,8.0,True
5120,,YT,,2023-11-22,2023-12-20,,đia điem kinh doanh kfc cach mang thang tam tp ho chi minh - cong ty lien doanh tnhh kfc viet nam,BÙI THẾ HƯNG,540 Cách Mạng Tháng Tám,11,3,,kinh doanh dich vu an uong,5120,2023-12-05,,,,,,ho chi minh,đia điem kinh doanh kfc cach mang thang tam tp ho chi minh - cong ty lien doanh tnhh kfc viet nam,3,11,2026-12-04,13.0,True
5121,,YT,,2023-11-24,2023-12-22,,cong ty tnhh dich vu thuong mai đong xuyen,LÂM THIỆN NGỌC,407-409 Nguyễn Chí Thanh,12,5,,kinh doanh dich vu an uong,5121,2023-12-05,,,,,,ho chi minh,cong ty tnhh dich vu thuong mai đong xuyen,5,12,2026-12-04,11.0,True
5122,,YT,,2023-11-24,2023-12-22,,cong ty tnhh central 99,ÂU BỘI TRÂN,Tầng 1-6 và Tầng 9-10 Số 411 Trần Hưng Đạo B,14,5,,kinh doanh dich vu an uong,5122,2023-12-05,,,,,,ho chi minh,cong ty tnhh central 99,5,14,2026-12-04,11.0,True
5123,,YT,,2023-11-24,2023-12-22,,đia điem kinh doanh cong ty tnhh thuong mai dich vu viet hung long,LÊ HỮU PHÁT,69-71 Ngô Quyền,11,5,,kinh doanh dich vu an uong,5123,2023-12-05,,,,,,ho chi minh,đia điem kinh doanh cong ty tnhh thuong mai dich vu viet hung long,5,11,2026-12-04,11.0,True
5124,,YT,,2023-11-27,2023-12-25,,đia điem kinh doanh cao đat - cong ty co phan đau tu thuong mai ttv,TRẦN TUYẾT VÂN,Số 180 đường Cao Đạt,1,5,,kinh doanh dich vu an uong,5124,2023-12-05,,,,,,ho chi minh,đia điem kinh doanh cao đat - cong ty co phan đau tu thuong mai ttv,5,1,2026-12-04,8.0,True
5125,,"CT, NN, YT",,2023-11-27,2023-12-25,,cong ty tnhh thiso retail - đia điem kinh doanh e-mart phan huy ich,TRẦN BÁ DƯƠNG,385 Phan Huy Ích,14,go vap,,"so che, đong goi: rau, cu, qua, thit; san xuat cac loai banh tu bot; kinh doanh dich vu an uong; ban le nhom san pham theo danh muc",5125,2023-12-05,,,,,,ho chi minh,cong ty tnhh thiso retail - đia điem kinh doanh e-mart phan huy ich,go vap,14,2026-12-04,8.0,True
5126,,YT,,2023-11-27,2023-12-25,,cong ty tnhh nha hang the hestia,TRẦN THỊ TUYẾT OANH,437 Nguyễn Oanh,17,go vap,,kinh doanh dich vu an uong,5126,2023-12-05,,,,,,ho chi minh,cong ty tnhh nha hang the hestia,go vap,17,2026-12-04,8.0,True
5127,,NN,,2023-11-27,2023-12-13,,chi nhanh cong ty tnhh san xuat kinh doanh thuong mai dich vu tan phuoc,,Số 26 Trần Văn Hoàng,9,tan binh,,che bien gio cha,5127,2023-12-05,,,,,,ho chi minh,chi nhanh cong ty tnhh san xuat kinh doanh thuong mai dich vu tan phuoc,tan binh,9,2026-12-04,8.0,True
5128,,NN,,2023-11-28,2023-12-14,,cong ty trach nhiem huu han thuc pham vu dallas,,232/109 Đoàn Văn Bơ,10,4,317899273.0,"kinh doanh rau, cu, qua, thit, ca",5128,2023-12-05,,,,,,ho chi minh,cong ty trach nhiem huu han thuc pham vu dallas,4,10,2026-12-04,7.0,True
5129,,"CT, YT",,2023-11-28,2023-12-27,,đia điem kinh doanh so 261 - cong ty tnhh gs 25 vietnam,PHẠM HOÀNG MINH,"Tầng 1, số 194 và 192/1 Đường Nguyễn Thái Bình",12,tan binh,,ban le nhom san pham theo danh muc; kinh doanh dich vu an uong,5129,2023-12-05,,,,,,ho chi minh,đia điem kinh doanh so 261 - cong ty tnhh gs 25 vietnam,tan binh,12,2026-12-04,7.0,True
5130,,YT,,2023-11-27,2023-12-25,,cua hang mcdonalds hoang dieu - cong ty co phan good day hospitality,NGUYỄN HUY THỊNH,"Tầng trệt, Tòa nhà H3, 384 Hoàng Diệu",6,4,,kinh doanh dich vu an uong,5130,2023-12-05,,,,,,ho chi minh,cua hang mcdonalds hoang dieu - cong ty co phan good day hospitality,4,6,2026-12-04,8.0,True
5131,,"CT, YT",,2023-11-22,2023-12-20,,đia điem kinh doanh - cong ty tnhh 3nn vietnam,HOÀNG THỊ NGÂN,"Tầng 1 và tầng 2 , Số 49L Đường Phan Đăng Lưu",3,binh thanh,,ban le nhom san pham theo danh muc; kinh doanh dich vu an uong,5131,2023-12-05,,,,,,ho chi minh,đia điem kinh doanh - cong ty tnhh 3nn vietnam,binh thanh,3,2026-12-04,13.0,True
5132,,YT,,2023-11-27,2023-12-25,,đia điem kinh doanh cong ty co phan am thuc nhat phong chau pho,HUỲNH HỮU THANH PHƯƠNG,416 Phan Xích Long,2,phu nhuan,,kinh doanh dich vu an uong,5132,2023-12-05,,,,,,ho chi minh,đia điem kinh doanh cong ty co phan am thuc nhat phong chau pho,phu nhuan,2,2026-12-04,8.0,True
5133,,YT,,2023-11-27,2023-12-25,,cong ty co phan am thuc shakti,PHAN TRƯƠNG HOÀNG NHI,81 Phan Xích Long,2,phu nhuan,,kinh doanh dich vu an uong,5133,2023-12-05,,,,,,ho chi minh,cong ty co phan am thuc shakti,phu nhuan,2,2026-12-04,8.0,True
5134,,YT,,2023-11-27,2023-12-25,,đia điem kinh doanh cong ty co phan saigonese,BÙI NGUYỄN THUẬN,146-148 Ký Con,nguyen thai binh,1,,kinh doanh dich vu an uong,5134,2023-12-05,,,,,,ho chi minh,đia điem kinh doanh cong ty co phan saigonese,1,nguyen thai binh,2026-12-04,8.0,True
5135,,YT,,2023-11-27,2023-12-25,,cong ty tnhh đai cat - nha hang 144,NGUYỄN TIẾN QUYẾT,144 Tân Sơn Nhì,tan son nhi,tan phu,,kinh doanh dich vu an uong,5135,2023-12-05,,,,,,ho chi minh,cong ty tnhh đai cat - nha hang 144,tan phu,tan son nhi,2026-12-04,8.0,True
5136,,YT,,2023-11-27,2023-12-25,,cong ty tnhh 2 ku thien nhien,HUỲNH THỊ MỸ NGỌC,202 Bông Sao,5,8,,kinh doanh dich vu an uong,5136,2023-12-05,,,,,,ho chi minh,cong ty tnhh 2 ku thien nhien,8,5,2026-12-04,8.0,True
5137,,NN,,2023-11-24,2023-12-12,,cong ty tnhh huy phat foods,,38/52 Gò Dầu,tan son nhi,tan phu,317710062.0,"che bien: tuong ot, tuong đen",5137,2023-12-05,,,,,,ho chi minh,cong ty tnhh huy phat foods,tan phu,tan son nhi,2026-12-04,11.0,True
5138,,NN,,2023-11-28,2023-12-14,,đia điem kinh doanh trung tam phan phoi 7ambient - cong ty co phan seven system viet nam,,"Nhà Kho D2, Lô D2, Khu Công Nghiệp Tân Phú Trung",tan phu trung,cu chi,,"kho lanh bao quan thuc pham nong, lam, thuy san",5138,2023-12-05,,,,,,ho chi minh,đia điem kinh doanh trung tam phan phoi 7ambient - cong ty co phan seven system viet nam,cu chi,tan phu trung,2026-12-04,7.0,True
5139,,YT,,2023-11-27,2023-12-25,,ho kinh doanh le tai,LÊ VĂN TÀI,"158 TMT13, Tổ 44, khu phố 4",trung my tay,12,,san xuat nuoc đa vien dung lien,5139,2023-12-05,,,,,,ho chi minh,ho kinh doanh le tai,12,trung my tay,2026-12-04,8.0,True
5140,,YT,,2023-11-28,2023-12-26,,cong ty co phan tap đoan golden gate – chi nhanh mien nam - đia điem kinh doanh - nha hang gogi house,HÀ THÚC TÚ,Số 10B/A đường Nguyễn Ảnh Thủ,trung my tay,12,,kinh doanh dich vu an uong,5140,2023-12-05,,,,,,ho chi minh,cong ty co phan tap đoan golden gate – chi nhanh mien nam - đia điem kinh doanh - nha hang gogi house,12,trung my tay,2026-12-04,7.0,True
5141,,"CT, YT",,2023-11-27,2023-12-25,,đia điem kinh doanh cong ty tnhh cua hang tien loi gia đinh viet nam- cua hang familymart đang thuc vinh,KIRIMURA AKIRA,"11A Ấp 7, Đặng Thúc Vịnh",đong thanh,hoc mon,,ban le nhom san pham theo danh muc; kinh doanh dich vu an uong,5141,2023-12-05,,,,,,ho chi minh,đia điem kinh doanh cong ty tnhh cua hang tien loi gia đinh viet nam- cua hang familymart đang thuc vinh,hoc mon,đong thanh,2026-12-04,8.0,True
5142,,CT,,2023-11-23,2023-12-22,,đia điem kinh doanh winmart+ hcm 511 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,PHẠM THỊ THU HƯƠNG,49 Đông Thạnh 3-4,đong thanh,hoc mon,,ban le nhom san pham theo danh muc,5142,2023-12-05,,,,,,ho chi minh,đia điem kinh doanh winmart+ hcm 511 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,hoc mon,đong thanh,2026-12-04,12.0,True
5143,,CT,,2023-11-28,2023-12-27,,chi nhanh cong ty co phan thuong mai bach hoa xanh - cua hang bach hoa xanh 845 ha huy giap,PHẠM VĂN TRỌNG,845 Hà Huy Giáp,thanh xuan,12,,ban le nhom san pham theo danh muc,5143,2023-12-05,,,,,,ho chi minh,chi nhanh cong ty co phan thuong mai bach hoa xanh - cua hang bach hoa xanh 845 ha huy giap,12,thanh xuan,2026-12-04,7.0,True
5144,,CT,,2023-11-28,2023-12-26,,chi nhanh cong ty co phan thuong mai bach hoa xanh- cua hang bach hoa xanh 22i hiep thanh 13,PHẠM VĂN TRỌNG,"22I-22I/2 Hiệp Thành 13, Khu phố 3",hiep thanh,12,,ban le nhom san pham theo danh muc,5144,2023-12-05,,,,,,ho chi minh,chi nhanh cong ty co phan thuong mai bach hoa xanh- cua hang bach hoa xanh 22i hiep thanh 13,12,hiep thanh,2026-12-04,7.0,True
5145,,CT,,2023-11-28,2023-12-27,,chi nhanh cong ty co phan thuong mai bach hoa xanh - cua hang bach hoa xanh 161 binh my,PHẠM VĂN TRỌNG,"161 Bình Mỹ, Ấp 7",binh my,cu chi,,ban le nhom san pham theo danh muc,5145,2023-12-05,,,,,,ho chi minh,chi nhanh cong ty co phan thuong mai bach hoa xanh - cua hang bach hoa xanh 161 binh my,cu chi,binh my,2026-12-04,7.0,True
5146,,CT,,2023-11-28,2023-12-27,,đia điem kinh doanh cong ty co phan thuong mai bach hoa xanh - cua hang bach hoa xanh so 336,PHẠM VĂN TRỌNG,28-30 Đường TMT 13,trung my tay,12,,ban le nhom san pham theo danh muc,5146,2023-12-05,,,,,,ho chi minh,đia điem kinh doanh cong ty co phan thuong mai bach hoa xanh - cua hang bach hoa xanh so 336,12,trung my tay,2026-12-04,7.0,True
5147,,YT,,2023-11-28,2023-12-26,,chi nhanh quan 3 - cong ty co phan d1 concepts,NGUYỄN XUÂN VINH,2A và 2C Cao Thắng,5,3,,kinh doanh dich vu an uong,5147,2023-12-06,,,,,,ho chi minh,chi nhanh quan 3 - cong ty co phan d1 concepts,3,5,2026-12-05,8.0,True
5148,,YT,,2023-11-29,2023-12-28,,đia điem kinh doanh hotpot - cong ty tnhh baoz group,VŨ ĐỨC HIỀN,90-92 Nguyễn Tri Phương,7,5,,kinh doanh dich vu an uong,5148,2023-12-06,,,,,,ho chi minh,đia điem kinh doanh hotpot - cong ty tnhh baoz group,5,7,2026-12-05,7.0,True
5149,,NN,,2023-11-28,2023-12-13,,đia điem kinh doanh – cong ty tnhh hot food,,B11/10N ấp 2A,vinh loc b,binh chanh,,"cat, đong goi thit đong lanh",5149,2023-12-06,,,,,,ho chi minh,đia điem kinh doanh – cong ty tnhh hot food,binh chanh,vinh loc b,2026-12-05,8.0,True
5150,,YT,,2023-11-27,2023-12-25,,cua hang kfc central plaza,BÙI THẾ HƯNG,C6/27 đường Phạm Hùng,binh hung,binh chanh,,kinh doanh dich vu an uong,5150,2023-12-06,,,,,,ho chi minh,cua hang kfc central plaza,binh chanh,binh hung,2026-12-05,9.0,True
5151,,YT,,2023-11-28,2023-12-26,,ho kinh doanh vo minh thu,LẠI THỊ KIM HOA,A10/312 Ấp 1 ,phong phu,binh chanh,,san xuat nuoc uong đong binh,5151,2023-12-06,,,,,,ho chi minh,ho kinh doanh vo minh thu,binh chanh,phong phu,2026-12-05,8.0,True
5152,,YT,,2023-11-27,2023-12-25,,domino’s pizza đia điem kinh doanh - cong ty tnhh dich vu thuc pham va giai khat viet nam,VÕ THỊ PHI PHƯƠNG,D1/10D Nguyễn Thị Tú,vinh loc b,binh chanh,,kinh doanh dich vu an uong,5152,2023-12-06,,,,,,ho chi minh,domino’s pizza đia điem kinh doanh - cong ty tnhh dich vu thuc pham va giai khat viet nam,binh chanh,vinh loc b,2026-12-05,9.0,True
5153,,YT,,2023-11-28,2023-12-26,,đia điem kinh doanh 68 - cong ty co phan thien đuong am thuc viet nam,PHAN CÔNG THÀNH,"Tầng 1, 1F-06B Lotte Mart Gò Vấp, Số 18 Phan Văn Trị",10,go vap,,kinh doanh dich vu an uong,5153,2023-12-06,,,,,,ho chi minh,đia điem kinh doanh 68 - cong ty co phan thien đuong am thuc viet nam,go vap,10,2026-12-05,8.0,True
5154,,NN,,2023-11-29,2023-12-15,,cong ty tnhh ca phe tran huu trang,,Số 496/63/52C Dương Quảng Hàm,6,go vap,311054488.0,"rang xay, đong goi ca phe",5154,2023-12-06,,,,,,ho chi minh,cong ty tnhh ca phe tran huu trang,go vap,6,2026-12-05,7.0,True
5155,,NN,,2023-11-29,2023-12-15,,cong ty tnhh garden farm,,220/8 Nguyễn Trọng Tuyển,8,phu nhuan,,"che bien: kho ga, kho heo, kho bo, cha bong, hat say; đong goi: trai cay say, rau cu say, hat say, gao lut, banh lam tu hat",5155,2023-12-06,,,,,,ho chi minh,cong ty tnhh garden farm,phu nhuan,8,2026-12-05,7.0,True
5156,,YT,,2023-11-29,2023-12-27,,cong ty tnhh 5959,NGUYỄN VIỆT ĐỨC,860/75/1 Xô Viết Nghệ Tĩnh,25,binh thanh,,kinh doanh dich vu an uong,5156,2023-12-06,,,,,,ho chi minh,cong ty tnhh 5959,binh thanh,25,2026-12-05,7.0,True
5157,,YT,,2023-11-29,2023-12-27,,đia điem kinh doanh xo viet nghe tinh - cong ty co phan đau tu thuong mai ttv,TRẦN TUYẾT VÂN,214A Đường Xô Viết Nghệ Tĩnh,21,binh thanh,,kinh doanh dich vu an uong,5157,2023-12-06,,,,,,ho chi minh,đia điem kinh doanh xo viet nghe tinh - cong ty co phan đau tu thuong mai ttv,binh thanh,21,2026-12-05,7.0,True
5158,,YT,,2023-11-24,2023-12-25,,chi nhanh thu đuc - cong ty co phan đau tu phat trien khai thong,BÙI VŨ THỊ VI CẨM TÚ,"Số 09 Dân Chủ, Khu phố 2",binh tho,thu đuc,,kinh doanh dich vu an uong,5158,2023-12-06,,,,,,ho chi minh,chi nhanh thu đuc - cong ty co phan đau tu phat trien khai thong,thu đuc,binh tho,2026-12-05,12.0,True
5159,,"CT, YT",,2023-11-27,2023-12-25,,đia điem kinh doanh so 258 - cong ty tnhh gs 25 vietnam,PHẠM HOÀNG MINH,"Số 113 Đường Tam Hà, Khu phố 4",tam phu,thu đuc,,ban le nhom san pham theo danh muc; kinh doanh dich vu an uong,5159,2023-12-06,,,,,,ho chi minh,đia điem kinh doanh so 258 - cong ty tnhh gs 25 vietnam,thu đuc,tam phu,2026-12-05,9.0,True
5160,,YT,,2023-11-27,2023-12-25,,đia điem kinh doanh – cong ty tnhh thuong mai dich vu xuat nhap khau đuc le,TRẦN THỊ LỆ,Số 38 Tô Vĩnh Diện,linh chieu,thu đuc,,kinh doanh dich vu an uong,5160,2023-12-06,,,,,,ho chi minh,đia điem kinh doanh – cong ty tnhh thuong mai dich vu xuat nhap khau đuc le,thu đuc,linh chieu,2026-12-05,9.0,True
5161,,NN,,2023-11-28,2023-12-14,,cong ty tnhh luong thuc thuc pham kim uyen nhi,,"16/11A Đường 5, Khu phố 5",truong tho,thu đuc,318141997.0,kinh doanh thit,5161,2023-12-06,,,,,,ho chi minh,cong ty tnhh luong thuc thuc pham kim uyen nhi,thu đuc,truong tho,2026-12-05,8.0,True
5162,,NN,,2023-11-28,2023-12-14,,kho thu đuc - chi nhanh cong ty tnhh nong san nhat đien,,"Số 1A Đường số 3, Khu Phố 4",binh chieu,thu đuc,,"so che, đong goi: rau, cu, qua, trai cay",5162,2023-12-06,,,,,,ho chi minh,kho thu đuc - chi nhanh cong ty tnhh nong san nhat đien,thu đuc,binh chieu,2026-12-05,8.0,True
